trans,word
"['v. 吵架，争论；反对；挑剔；抱怨', 'n. 吵架；反目；怨言；争吵的原因；方头凿', 'vi. 吵架；争论；挑剔', 'n. 吵架，口角；反目，失和；争吵（或抱怨）的原因；方头凿，方头投掷物；方镞箭']",quarrel
['n. 参议院，上院；（古罗马的）元老院'],senate
"['vt. 取消；解开；破坏；扰乱', 'vi. 撤消']",undo
"['n. 助动词；辅助者，辅助物；附属机构；（北美）志愿队；（海军的）辅助舰队', 'adj. 辅助的；副的；附加的；（发动机、设备等）备用的', 'n. 助动词；辅助者，辅助物；附属机构', 'adj. 辅助的；副的；附加的']",auxiliary
"['v. 锻造，铸造；缔造，艰苦做成；伪造；稳步前进，匀速移动', 'vt. 伪造；[机]锻造', 'vi. 伪造；做锻工', 'n. 锻铁炉，锻造车间，锻造厂；铁匠铺；伪造者', 'n. 熔炉，锻铁炉；铁工厂', 'n. (Forge) （美）福格（人名）']",forge
"['n. (Mercy)人名；(英)默西，默茜(女名)；(法)梅西', 'n. 仁慈，宽容；怜悯；幸运；善行']",mercy
"['adv. 几乎不，简直不；几乎没有；决不； 刚……就……；仅仅，刚刚；勉强，刚；根本不可能；不可能，不会', 'adv. 几乎不，简直不；简直没有']",scarcely
['n. 比较；对照；比喻；比较关系'],comparison
"['n. 协调；和睦；融洽；调和', 'n. (Harmony)人名；(英)哈莫尼']",harmony
['adj. 局部的；偏爱的；不公平的'],partial
"['n. 收音机；无线电广播设备', 'n. (Radio)人名；(西)拉迪奥', 'vt. 用无线电发送', 'n. [电讯]收音机；无线电广播设备', 'vi. 用无线电进行通信']",radio
"['vi. 作解答', 'vt. 解决；解答；溶解']",solve
"['n. 增补（物）；补品；增刊；（书籍的）附录；额外服务费用；补角', 'v. 增补，补充', 'vt. 补充，增补', 'n. 补充，[图情]补遗；补充物；附录']",supplement
"['n. 打扫，扫除；范围；全胜', 'n. 打扫；挥动；巡行，搜索；扫描；（地貌）呈缓坡或曲线延伸的地带；广度，范围；囊括全部胜利', 'vi. 扫，打扫；席卷；扫视；袭击', 'v. 扫去，清除；（迅猛地）推送，吹走；席卷，横扫；步态轻盈地走；挥动；迅速传播；扫视，搜索，检查；掠过；梳（头发）；蜿蜒', 'vt. 扫除；猛拉；掸去']",sweep
"['n. 出席；到场；出席人数', 'n. 出席；到场；出席人数；考勤']",attendance
"['adj. 可爱的，可喜的；令人愉快的', 'adj. 可爱的，可喜的；讨人喜欢的；令人愉快的']",delightful
"['n. 其时，其间', 'adv. 同时；其间']",meantime
"['n. 穿孔', 'vi. 进入；透入', 'v. （锋利尖锐物体）刺穿；穿孔于（耳朵、鼻子）；（光、声）穿透，刺破；突破', 'vt. 刺穿；洞察；响彻；深深地打动']",pierce
"['vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心', 'vt. 尖声喊叫；大叫大嚷着要求', 'n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人']",scream
"['n. 峭壁；浸渍', 'vt. 泡；浸；使…充满', 'vi. 泡；沉浸', 'adj. 陡峭的；不合理的；夸大的；急剧升降的']",steep
"['vi. 练习，实践；实施，实行；从事', 'vt. 练习，实践；实施，实行', 'v. 练习，实践；经常做；从事；实施，实行；信奉；阴谋策划']",practise
"['n. [解剖]额，前额', 'n. 额，前额']",forehead
"['n. 谷仓；畜棚；车库；靶（核反应截面单位）', 'vt. 把……贮存入仓']",barn
"['vi. 波动；涨落；动摇', 'vt. 使波动；使动摇']",fluctuate
"['vi. 寄宿；临时住宿', 'n. (Lodge) （美）洛奇（人名）', 'n. 旅馆；门房；集会处；山林小屋', 'n. 门房；侧屋；乡间小屋；旅馆；学院院长住宅；印第安锥形棚屋；海狸窝；集会处；管理员室；原木住宅', 'vt. 提出；寄存；借住；嵌入', 'v. 正式提出；存放；嵌入；租房；（风、雨）使（庄稼）倒伏']",lodge
"['n. [相对]相对论；相关性；相对性', 'n. 相对论；相关性；相对性']",relativity
"['n. 溃疡，痛处；恨事，伤心事', 'adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的', 'n. (Sore)人名；(法)索尔；(意)索雷']",sore
"['vi. 参加宴会', 'n. 宴会，盛宴；宴请，款待', 'n. (Banquet)人名；(法)邦凯；(西)班克特', 'vt. 宴请，设宴款待']",banquet
['adj. 贪婪的；贪吃的；渴望的'],greedy
"['vt. 抱怨；呻吟着说', 'n. 呻吟声；悲叹', 'vi. 抱怨，悲叹；呻吟', 'n. (Moan)人名；(法)莫昂']",moan
"['n. (Rage)人名；(丹)拉厄', 'n. 愤怒；狂暴，肆虐；情绪激动', 'vi. 大怒，发怒；流行，风行']",rage
"['vt. 侦察；跟踪，监视；发现', 'vi. 侦察；巡视；嘲笑', 'n. 搜索，[航][军]侦察；侦察员；侦察机', 'vi. [航][军]侦察；巡视；嘲笑', 'vt. [航][军]侦察；跟踪，监视；发现', 'n. 搜索，侦察；侦察员；侦察机']",scout
"['adj. 敌对的，敌方的；怀敌意的', 'n. 敌对']",hostile
