trans,word
"['n. 线，细绳；一串，一行', 'n. 线，弦，细绳；一串，一行', 'vt. 悬挂；系；扎；用线（或细绳等）串，把……连在一起', 'vt. 扎，缚；使排成一列，串起；伸展，拉直']",string
"['vi. 扩大，变阔；变宽，加宽', 'vt. 使扩大；使变宽']",broaden
"['vi. 附加；附属；伴随', 'vt. 使依附；贴上；系上；使依恋']",attach
"['n. （Vital）（法、德、意、俄、葡）维塔尔；（西）比塔尔（人名）', 'adj. 至关重要的；生死攸关的；有活力的']",vital
"['n. 能力；容量；资格，地位；生产力', 'n. 能力；[物]容量；资格，地位；生产力']",capacity
['n. 批评家，评论家；爱挑剔的人'],critic
"['n. （Grant）（美）格朗（人名）', 'vi. 同意', 'n. （政府）拨款，补助金；授予，给予；合法转让，正式授予', 'v. （合法地）授予，允许；（勉强）承认，同意', 'vt. [法][专利]授予；允许；承认', 'n. 拨款；[法][专利]授予物']",grant
"['n. [心理]个性；品格；名人', 'n. 个性；品格；名人']",personality
"['vt. 补充；聘用；征募；使…恢复健康', 'v. 征募；聘用；通过招募组建；补充；（非正式）说服；（使）恢复健康', 'vi. 复原；征募新兵；得到补充；恢复健康', 'n. 招聘；新兵；新成员']",recruit
"['vt. 分配；指派；[计][数] 赋值', 'vi. 将财产过户（尤指过户给债权人）', 'vt. 分配；指派；[计][数]赋值']",assign
"['n. 战略，策略', 'n. [军]战略，策略']",strategy
"['vi. 勘探，找矿', 'n. 前途；预期；景色', 'vt. 勘探，勘察']",prospect
"['n. 坚决；决定要做的事', 'vt. 决定；溶解；使……分解；决心要做……；[主化]解析', 'vt. 决定；溶解；使…分解；决心要做…', 'vi. 解决；决心；分解']",resolve
